PurchaseHistoryId,ProductId,Quantity,PricePerQuantity,TimeOfTheDay
1,8,1,16864,13:02:06
1,5,1,19811,13:04:12
1,4,1,25649,13:06:06
1,3,1,15327,13:11:04
1,10,1,25049,13:30:07
1,8,1,16864,13:32:45
1,8,1,16864,13:56:47
2,4,1,25649,05:09:08
2,2,1,12642,05:27:37
2,14,1,10516,05:31:25
2,7,1,17587,05:31:30
2,5,1,19811,05:34:39
2,11,1,7947,05:42:39
2,1,1,320,05:45:13
2,4,1,25649,05:46:06
3,10,1,25049,23:01:11
3,5,1,19811,23:09:02
3,2,1,12642,23:13:23
3,3,1,15327,23:27:15
3,8,1,16864,23:31:53
3,7,1,17587,23:42:12
3,1,1,320,23:44:09
4,2,1,12642,04:06:57
4,13,1,16703,04:07:13
4,6,1,7436,04:27:37
4,9,1,3662,04:43:43
5,3,1,15327,14:07:28
6,1,1,320,09:03:25
6,5,1,19811,09:04:21
6,2,1,12642,09:13:47
6,11,1,7947,09:14:56
6,10,1,25049,09:18:46
6,5,1,19811,09:54:52
7,5,1,19811,09:01:49
7,8,1,16864,09:05:03
7,7,1,17587,09:07:41
7,8,1,16864,09:12:25
8,12,1,9206,04:17:15
8,6,1,7436,04:40:42
8,7,1,17587,04:41:41
9,13,1,16703,10:05:34
9,4,1,25649,10:13:46
9,8,1,16864,10:15:58
9,13,1,16703,10:32:02
9,2,1,12642,10:50:04
10,13,1,16703,21:12:46
10,8,1,16864,21:19:38
10,4,1,25649,21:39:29
10,1,1,320,21:51:41
11,9,1,3662,20:01:56
11,3,1,15327,20:02:50
11,3,1,15327,20:12:34
11,1,1,320,20:21:35
11,12,1,9206,20:22:38
11,12,1,9206,20:24:05
11,7,1,17587,20:28:33
11,11,1,7947,20:59:32
12,5,1,19811,02:57:22
13,13,1,16703,07:40:10
13,4,1,25649,07:43:44
13,9,1,3662,07:51:05
14,11,1,7947,04:55:20
15,2,1,12642,21:09:48
15,11,1,7947,21:11:15
15,5,1,19811,21:15:58
15,13,1,16703,21:35:54
15,4,1,25649,21:37:21
15,8,1,16864,21:43:31
15,1,1,320,21:56:43
16,11,1,7947,11:02:09
16,2,1,12642,11:17:49
16,6,1,7436,11:31:51
16,3,1,15327,11:41:17
17,9,1,3662,12:01:32
17,4,1,25649,12:20:31
17,6,1,7436,12:28:37
18,10,1,25049,02:32:12
18,3,1,15327,02:56:42
19,1,1,320,22:08:51
19,13,1,16703,22:18:17
19,7,1,17587,22:59:19
20,13,1,16703,01:37:06
20,1,1,320,01:48:15
21,7,1,17587,11:02:53
21,9,1,3662,11:28:26
21,12,1,9206,11:34:34
21,11,1,7947,11:51:31
22,4,1,25649,02:38:23
22,13,1,16703,02:46:13
22,12,1,9206,02:52:57
23,2,1,12642,09:29:32
23,13,1,16703,09:34:04
23,6,1,7436,09:51:44
23,5,1,19811,09:52:59
23,11,1,7947,09:55:37
24,12,1,9206,13:33:41
25,13,1,16703,02:17:59
25,5,1,19811,02:20:46
